Color,Clarity,Size,Price
D,IF,0.30,45000
D,VVS1,0.30,43000
D,VVS2,0.30,41000
D,VS1,0.30,39000
D,VS2,0.30,37000
E,IF,0.30,44000
E,VVS1,0.30,42000
E,VVS2,0.30,40000
E,VS1,0.30,38000
E,VS2,0.30,36000
F,IF,0.50,68000
F,VVS1,0.50,65000
F,VVS2,0.50,62000
F,VS1,0.50,59000
F,VS2,0.50,56000
G,IF,0.50,66000
G,VVS1,0.50,63000
G,VVS2,0.50,60000
G,VS1,0.50,57000
G,VS2,0.50,54000
H,IF,0.75,92000
H,VVS1,0.75,89000
H,VVS2,0.75,86000
H,VS1,0.75,83000
H,VS2,0.75,80000
I,IF,1.00,125000
I,VVS1,1.00,120000
I,VVS2,1.00,115000
I,VS1,1.00,110000
I,VS2,1.00,105000
J,SI1,1.00,95000
J,SI2,1.00,90000
K,SI1,1.50,130000
K,SI2,1.50,120000
L,I1,2.00,140000
L,I2,2.00,130000
